requirement,function_name,test,status,error,stdout,timestamp
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(0) == 1,error,list assignment index out of range,,2025-05-04 00:33:12.858882
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(1) == 0,pass,,,2025-05-04 00:33:12.858905
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(2) == 3,pass,,,2025-05-04 00:33:12.858924
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(3) == 0,pass,,,2025-05-04 00:33:12.858940
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(4) == 11,pass,,,2025-05-04 00:33:12.858969
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(6) == 41,pass,,,2025-05-04 00:33:12.858992
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(8) == 153,pass,,,2025-05-04 00:33:12.859008
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(10) == 571,pass,,,2025-05-04 00:33:12.859025
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(12) == 2131,pass,,,2025-05-04 00:33:12.859042
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(14) == 7953,pass,,,2025-05-04 00:33:12.859059
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(1, 0) == True",pass,,,2025-05-04 00:33:15.279565
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(2, 3) == True",pass,,,2025-05-04 00:33:15.279598
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(10, 11) == True",pass,,,2025-05-04 00:33:15.279623
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(7, 6) == True",pass,,,2025-05-04 00:33:15.279645
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(0, 1) == True",pass,,,2025-05-04 00:33:15.279667
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(5, 4) == True",pass,,,2025-05-04 00:33:15.279689
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(1, 2) == False",pass,,,2025-05-04 00:33:15.279711
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(1, 3) == False",fail,,,2025-05-04 00:33:15.279735
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(10, 12) == False",pass,,,2025-05-04 00:33:15.279758
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(7, 5) == False",fail,,,2025-05-04 00:33:15.279781
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(0, 0) == False",pass,,,2025-05-04 00:33:15.279802
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(5, 1) == False",fail,,,2025-05-04 00:33:15.279824
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(15, 7) == False",fail,,,2025-05-04 00:33:15.279846
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(15, 14) == True",pass,,,2025-05-04 00:33:15.279867
Write a function to find all words which are at least 4 characters long in a string by using regex.,find_long_words,"assert find_long_words('This is a test string with some long words.') == ['This', 'test', 'string', 'with', 'some', 'long', 'words']",pass,,,2025-05-04 00:33:18.396086
Write a function to find all words which are at least 4 characters long in a string by using regex.,find_long_words,"assert find_long_words('The quick brown fox jumps over the lazy dog.') == ['quick', 'brown', 'jumps', 'over', 'lazy', 'dog']",fail,,,2025-05-04 00:33:18.396148
Write a function to find all words which are at least 4 characters long in a string by using regex.,find_long_words,"assert find_long_words('Four score and seven years ago') == ['Four', 'score', 'seven', 'years', 'ago']",fail,,,2025-05-04 00:33:18.396194
Write a function to find all words which are at least 4 characters long in a string by using regex.,find_long_words,"assert find_long_words('one two three four five six seven eight nine ten') == ['three', 'four', 'five', 'seven', 'eight', 'nine']",pass,,,2025-05-04 00:33:18.396236
Write a function to find all words which are at least 4 characters long in a string by using regex.,find_long_words,"assert find_long_words('Short words like a an in are not included.') == ['Short', 'words', 'like', 'included']",pass,,,2025-05-04 00:33:18.396273
Write a function to find all words which are at least 4 characters long in a string by using regex.,find_long_words,"assert find_long_words('This string has punctuation, like commas, and periods.') == ['This', 'string', 'has', 'punctuation', 'like', 'commas', 'periods']",fail,,,2025-05-04 00:33:18.396328
Write a function to find all words which are at least 4 characters long in a string by using regex.,find_long_words,"assert find_long_words('This string has numbers 1234 and 5678.') == ['This', 'string', 'numbers', '1234', '5678']",pass,,,2025-05-04 00:33:18.396371
Write a function to find all words which are at least 4 characters long in a string by using regex.,find_long_words,"assert find_long_words('Empty string.') == ['Empty', 'string']",pass,,,2025-05-04 00:33:18.396400
Write a function to find all words which are at least 4 characters long in a string by using regex.,find_long_words,assert find_long_words('') == [],pass,,,2025-05-04 00:33:18.396425
Write a function to find all words which are at least 4 characters long in a string by using regex.,find_long_words,"assert find_long_words('a ab abc abcd abcde') == ['abcd', 'abcde']",pass,,,2025-05-04 00:33:18.396453
Write a function to find squares of individual elements in a list using lambda function.,square_list,"assert square_list([1, 2, 3, 4, 5]) == [1, 4, 9, 16, 25]",pass,,,2025-05-04 00:33:56.413496
Write a function to find squares of individual elements in a list using lambda function.,square_list,"assert square_list([-1, 0, 1]) == [1, 0, 1]",pass,,,2025-05-04 00:33:56.413543
Write a function to find squares of individual elements in a list using lambda function.,square_list,assert square_list([]) == [],pass,,,2025-05-04 00:33:56.413569
Write a function to find squares of individual elements in a list using lambda function.,square_list,"assert square_list([2.5, 3.5]) == [6.25, 12.25]",pass,,,2025-05-04 00:33:56.413605
Write a function to find squares of individual elements in a list using lambda function.,square_list,"assert square_list([1, -2, 3, -4, 5]) == [1, 4, 9, 16, 25]",pass,,,2025-05-04 00:33:56.413646
Write a python function to find the minimum number of rotations required to get the same string.,min_rotations,assert min_rotations('geeks') == 5,pass,,,2025-05-04 00:33:58.448050
Write a python function to find the minimum number of rotations required to get the same string.,min_rotations,assert min_rotations('aaaa') == 1,pass,,,2025-05-04 00:33:58.448091
Write a python function to find the minimum number of rotations required to get the same string.,min_rotations,assert min_rotations('abab') == 2,pass,,,2025-05-04 00:33:58.448122
Write a python function to find the minimum number of rotations required to get the same string.,min_rotations,assert min_rotations('abcab') == 5,pass,,,2025-05-04 00:33:58.448152
Write a python function to find the minimum number of rotations required to get the same string.,min_rotations,assert min_rotations('') == 0,pass,,,2025-05-04 00:33:58.448181
Write a python function to find the minimum number of rotations required to get the same string.,min_rotations,assert min_rotations('a') == 1,pass,,,2025-05-04 00:33:58.448207
Write a python function to find the minimum number of rotations required to get the same string.,min_rotations,assert min_rotations('hello') == 5,pass,,,2025-05-04 00:33:58.448235
Write a python function to find the minimum number of rotations required to get the same string.,min_rotations,assert min_rotations('opentext') == 8,pass,,,2025-05-04 00:33:58.448265
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([1, 2, 3, 4, 5], 3) == [1, 2, 3]",pass,,,2025-05-04 00:34:02.698656
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([5, 4, 3, 2, 1], 3) == [1, 2, 3]",pass,,,2025-05-04 00:34:02.698696
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([5, 4, 3, 2, 1], 1) == [1]",pass,,,2025-05-04 00:34:02.698726
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([5, 4, 3, 2, 1], 5) == [5, 4, 3, 2, 1]",fail,,,2025-05-04 00:34:02.698759
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([1, 2, 3], 5) == [1, 2, 3]",pass,,,2025-05-04 00:34:02.698785
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([1, 2, 2, 3], 3) == [1, 2, 2]",pass,,,2025-05-04 00:34:02.698813
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([], 3) == []",pass,,,2025-05-04 00:34:02.698832
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([1, 2, 3], 0) == []",pass,,,2025-05-04 00:34:02.698853
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([1, 2, 3], -1) == []",pass,,,2025-05-04 00:34:02.698874
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([1, 2, 3], 1.5) == []",pass,,,2025-05-04 00:34:02.698896
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([1, 2, 3], 'a') == []",pass,,,2025-05-04 00:34:02.698918
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([3, 1, 4, 1, 5, 9, 2, 6], 4) == [1, 1, 2, 3]",pass,,,2025-05-04 00:34:02.698951
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([1.5, 2.5, 3.5, 4.5], 2) == [1.5, 2.5]",pass,,,2025-05-04 00:34:02.698982
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest(['c', 'a', 'b'], 2) == ['a', 'b']",pass,,,2025-05-04 00:34:02.699008
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([1, 2, 3, 4, 5], 1) == [1]",pass,,,2025-05-04 00:34:02.699037
Write a function to get the n smallest items from a dataset.,get_n_smallest,"assert get_n_smallest([1, 2, 3, 4, 5], 5) == [1, 2, 3, 4, 5]",pass,,,2025-05-04 00:34:02.699088
"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].",min_cost_path,"assert min_cost_path([[1, 2, 3], [4, 8, 2], [1, 5, 3]], 2, 2) == 8",pass,,,2025-05-04 00:35:57.662808
"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].",min_cost_path,"assert min_cost_path([[1, 2, 3], [4, 8, 2], [1, 5, 3]], 0, 0) == 1",pass,,,2025-05-04 00:35:57.662885
"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].",min_cost_path,"assert min_cost_path([[1, 2, 3], [4, 8, 2], [1, 5, 3]], 1, 1) == 9",pass,,,2025-05-04 00:35:57.662965
"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].",min_cost_path,"assert min_cost_path([[1, 2], [4, 8]], 1, 1) == 9",pass,,,2025-05-04 00:35:57.663006
"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].",min_cost_path,"assert min_cost_path([[5]], 0, 0) == 5",pass,,,2025-05-04 00:35:57.663037
"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].",min_cost_path,"assert min_cost_path([[1, 5, 10], [1, 8, 9], [3, 2, 4]], 2, 2) == 15",fail,,,2025-05-04 00:35:57.663095
"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].",min_cost_path,"assert min_cost_path([[1, 5, 10], [1, 8, 9], [3, 2, 4]], 1, 0) == 2",pass,,,2025-05-04 00:35:57.663143
"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].",min_cost_path,"assert min_cost_path([[0, 0, 0], [0, 0, 0], [0, 0, 0]], 2, 2) == 0",pass,,,2025-05-04 00:35:57.663189
"Write a function to find the minimum cost path to reach (m, n) from (0, 0) for the given cost matrix cost[][] and a position (m, n) in cost[][].",min_cost_path,"assert min_cost_path([[1, 2, 3], [4, 5, 6]], 1, 2) == 12",fail,,,2025-05-04 00:35:57.663229
Write a function to find the similar elements from the given two tuple lists.,find_similar_elements,"assert find_similar_elements([(1, 2), (3, 4), (5, 6)], [(5, 6), (7, 8), (1, 2)]) == [(5, 6), (1, 2)] or find_similar_elements([(1, 2), (3, 4), (5, 6)], [(5, 6), (7, 8), (1, 2)]) == [(1, 2), (5, 6)]",pass,,,2025-05-04 00:36:00.647573
Write a function to find the similar elements from the given two tuple lists.,find_similar_elements,"assert find_similar_elements([(1, 2), (3, 4)], [(5, 6), (7, 8)]) == []",pass,,,2025-05-04 00:36:00.647629
Write a function to find the similar elements from the given two tuple lists.,find_similar_elements,"assert find_similar_elements([(1, 2), (3, 4)], [(3, 4)]) == [(3, 4)]",pass,,,2025-05-04 00:36:00.647675
Write a function to find the similar elements from the given two tuple lists.,find_similar_elements,"assert find_similar_elements([], [(1, 2), (3, 4)]) == []",pass,,,2025-05-04 00:36:00.647730
Write a function to find the similar elements from the given two tuple lists.,find_similar_elements,"assert find_similar_elements([(1, 2), (3, 4)], []) == []",pass,,,2025-05-04 00:36:00.647766
Write a function to find the similar elements from the given two tuple lists.,find_similar_elements,"assert find_similar_elements([(1, 2)], [(1, 2)]) == [(1, 2)]",pass,,,2025-05-04 00:36:00.647802
Write a function to find the similar elements from the given two tuple lists.,find_similar_elements,"assert find_similar_elements([(1, 2), (1, 2)], [(1, 2)]) == [(1, 2)]",pass,,,2025-05-04 00:36:00.647842
Write a function to find the similar elements from the given two tuple lists.,find_similar_elements,"assert find_similar_elements([(1, 'a'), (3, 4)], [(3, 4), (1, 'a')]) == [(3, 4), (1, 'a')] or find_similar_elements([(1, 'a'), (3, 4)], [(3, 4), (1, 'a')]) == [(1, 'a'), (3, 4)]",pass,,,2025-05-04 00:36:00.647947
Write a python function to identify non-prime numbers.,find_non_primes,"assert find_non_primes([2, 3, 4, 5, 6, 7, 8, 9, 10]) == [4, 6, 8, 9, 10]",pass,,,2025-05-04 00:36:04.046258
Write a python function to identify non-prime numbers.,find_non_primes,"assert find_non_primes([11, 13, 17, 19]) == []",pass,,,2025-05-04 00:36:04.046292
Write a python function to identify non-prime numbers.,find_non_primes,"assert find_non_primes([1, 2, 3, 4, 5, 6]) == [1, 4, 6]",pass,,,2025-05-04 00:36:04.046325
Write a python function to identify non-prime numbers.,find_non_primes,"assert find_non_primes([0, 1, 2, 3]) == [0, 1]",pass,,,2025-05-04 00:36:04.046352
Write a python function to identify non-prime numbers.,find_non_primes,"assert find_non_primes([-2, -1, 0, 1, 2, 3, 4]) == [-2, -1, 0, 1, 4]",pass,,,2025-05-04 00:36:04.046387
Write a python function to identify non-prime numbers.,find_non_primes,"assert find_non_primes([4, 6, 8, 10, 12, 14, 16]) == [4, 6, 8, 10, 12, 14, 16]",pass,,,2025-05-04 00:36:04.046426
Write a python function to identify non-prime numbers.,find_non_primes,"assert find_non_primes([2, 3, 5, 7, 11, 13, 17, 19]) == []",pass,,,2025-05-04 00:36:04.046456
Write a python function to identify non-prime numbers.,find_non_primes,"assert find_non_primes([100, 101, 102, 103, 104]) == [100, 102, 104]",pass,,,2025-05-04 00:36:04.046487
Write a python function to identify non-prime numbers.,find_non_primes,assert find_non_primes([]) == [],pass,,,2025-05-04 00:36:04.046504
Write a python function to identify non-prime numbers.,find_non_primes,assert find_non_primes([1]) == [1],pass,,,2025-05-04 00:36:04.046522
Write a python function to identify non-prime numbers.,find_non_primes,assert find_non_primes([2]) == [],pass,,,2025-05-04 00:36:04.046540
Write a python function to identify non-prime numbers.,find_non_primes,assert find_non_primes([3]) == [],pass,,,2025-05-04 00:36:04.046557
Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,find_largest_numbers,"assert find_largest_numbers([3, 1, 4, 1, 5, 9, 2, 6], 3) == [9, 6, 5]",pass,,,2025-05-04 00:36:07.257593
Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,find_largest_numbers,"assert find_largest_numbers([3, 1, 4, 1, 5, 9, 2, 6], 1) == [9]",pass,,,2025-05-04 00:36:07.257657
Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,find_largest_numbers,"assert find_largest_numbers([3, 1, 4, 1, 5, 9, 2, 6], 8) == [9, 6, 5, 4, 3, 2, 1, 1]",pass,,,2025-05-04 00:36:07.257723
Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,find_largest_numbers,"assert find_largest_numbers([3, 1, 4, 1, 5, 9, 2, 6], 0) == []",pass,,,2025-05-04 00:36:07.257768
Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,find_largest_numbers,"assert find_largest_numbers([], 3) == []",pass,,,2025-05-04 00:36:07.257799
Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,find_largest_numbers,"assert find_largest_numbers([5, 5, 5, 5, 5], 2) == [5, 5]",pass,,,2025-05-04 00:36:07.257846
Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,find_largest_numbers,"assert find_largest_numbers([-3, -1, -4, -1, -5, -9, -2, -6], 3) == [-1, -1, -2]",pass,,,2025-05-04 00:36:07.257908
Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,find_largest_numbers,"assert find_largest_numbers([1, 2, 3], 5) == [3, 2, 1]",pass,,,2025-05-04 00:36:07.257952
Write a function to find the largest integers from a given list of numbers using heap queue algorithm.,find_largest_numbers,"assert find_largest_numbers([1.5, 2.5, 3.5], 2) == [3.5, 2.5]",pass,,,2025-05-04 00:36:07.258002
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(0) == 1,pass,,,2025-05-04 00:36:09.661389
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(1) == 0,pass,,,2025-05-04 00:36:09.661418
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(2) == 3,pass,,,2025-05-04 00:36:09.661441
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(3) == 0,pass,,,2025-05-04 00:36:09.661461
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(4) == 11,pass,,,2025-05-04 00:36:09.661485
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(6) == 41,pass,,,2025-05-04 00:36:09.661511
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(8) == 153,pass,,,2025-05-04 00:36:09.661536
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(10) == 571,pass,,,2025-05-04 00:36:09.661560
Write a function to find the number of ways to fill it with 2 x 1 dominoes for the given 3 x n board.,count_domino_tilings,assert count_domino_tilings(12) == 2131,pass,,,2025-05-04 00:36:09.661584
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(1, 0) == True",pass,,,2025-05-04 00:36:11.907020
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(2, 3) == True",pass,,,2025-05-04 00:36:11.907052
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(10, 11) == True",pass,,,2025-05-04 00:36:11.907077
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(7, 6) == True",pass,,,2025-05-04 00:36:11.907100
Write a python function to check whether the two numbers differ at one bit position only or not.,differ_at_one_bit,"assert differ_at_one_bit(1, 2) == False",pass,,,2025-05-04 00:36:11.907122
